약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
그린코푸시럽,(주)녹십자,없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
그린코푸에스캡슐,(주)녹십자,2밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
그린코푸캡슐,(주)녹십자,33.3밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
그린쿨인후스프레이액(포비돈요오드),(주)그린제약,50밀리리터,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
그린쿨환(안중조기환),(유)한풍제약,없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
그밤엔연질캡슐(디펜히드라민염산염),경동제약(주),50밀리그램,일반의약품,해당사항없음,N05CM,202502075.0,운전위험,디펜히드라민,항히스타민제(1세대)
근속프정(클로르족사존),(주)일화,200밀리그램,일반의약품,해당사항없음,M03BB03,201502394.0,운전위험,클로르족사존,근육이완제
근통정(메토카르바몰),익수제약(주),250밀리그램,전문의약품,해당사항없음,M03BA03,200904847.0,운전위험,메토카르바몰,근육이완제
근화메토카르바몰주500밀리그람,알보젠코리아(주),5밀리리터,전문의약품,해당사항없음,,199100886.0,운전위험,메토카르바몰,근육이완제
근화플루벤다졸정,알보젠코리아(주),500밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
글로에리손SR서방정(에페리손염산염),(주)킵스바이오파마,75밀리그램,전문의약품,해당사항없음,M03BX09,201908623.0,운전위험,에페리손,근육이완제
글로에리손정(에페리손염산염),(주)킵스바이오파마,50밀리그램,전문의약품,해당사항없음,M03BX09,201307233.0,운전위험,에페리손,근육이완제
글루맥스정100밀리그람(토피라메이트),진양제약(주),100밀리그램,전문의약품,해당사항없음,,200606969.0,운전위험,토피라메이트,항전간제
까스쿨명수액,동화약품(주),없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
까스활명수쿨액,동화약품(주),없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
나렉스정(날트렉손염산염),대한뉴팜(주),25밀리그램,전문의약품,해당사항없음,N07BB04,201500171.0,운전위험,날트렉손,오피오이드길항제
나우쿨카타플라스마,(주)녹십자,14그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
나이스콜드연질캡슐,코스맥스바이오(주),325밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
나이스콜드연질캡슐,코스맥스파마(주),325밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
나이슬립연질캡슐(디펜히드라민염산염),광동제약(주),50밀리그램,일반의약품,해당사항없음,N05CM,200901965.0,운전위험,디펜히드라민,항히스타민제(1세대)
난타쿨에프과립,(주)한국파비스바이오텍,없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
날렉손정(날트렉손염산염)(수출용),(주)아이월드제약,25밀리그램,전문의약품,해당사항없음,N07BB04,202101044.0,운전위험,날트렉손,오피오이드길항제
날손주(날록손염산염),하나제약(주),2밀리그램,전문의약품,해당사항없음,V03AB15,199702376.0,운전위험,날록손,오피오이드길항제
날손주사0.4밀리그람(날록손염산염),하나제약(주),0.4밀리그램,전문의약품,해당사항없음,V03AB15,199702375.0,운전위험,날록손,오피오이드길항제
날트라정25밀리그램(날트렉손염산염),알보젠코리아(주),25밀리그램,전문의약품,해당사항없음,N07BB04,201403957.0,운전위험,날트렉손,오피오이드길항제
날트라정25밀리그램(날트렉손염산염),(주)드림파마,25밀리그램,전문의약품,해당사항없음,N07BB04,201403957.0,운전위험,날트렉손,오피오이드길항제
날트렉신정(날트렉손염산염),영진약품(주),50밀리그램,전문의약품,해당사항없음,N07BB04,200606297.0,운전위험,날트렉손,오피오이드길항제
내프퀵연질캡슐(디펜히드라민염산염),동광제약(주),50밀리그램,일반의약품,해당사항없음,N05CM,200905636.0,운전위험,디펜히드라민,항히스타민제(1세대)
네노마정15밀리그램(클로미프라민염산염),(주)휴온스,15밀리그램,전문의약품,해당사항없음,G04BX,201306327.0,운전위험,클로미프라민,삼환계항우울제
네렉손서방정(에페리손염산염),대원제약(주),75밀리그램,전문의약품,해당사항없음,M03BX09,201501693.0,운전위험,에페리손,근육이완제
네버펜틴정600밀리그람(가바펜틴)(수출명:GarbapiaTab600mg),(주)대웅제약,600밀리그램,전문의약품,해당사항없음,N02BF01,200400479.0,운전위험,가바펜틴,항전간제
네버펜틴정600밀리그램(가바펜틴),대웅바이오(주),600밀리그램,전문의약품,해당사항없음,N02BF01,200400479.0,운전위험,가바펜틴,항전간제
네버펜틴정600밀리그램(가바펜틴)(비매품),대웅바이오(주),600밀리그램,전문의약품,해당사항없음,N02BF01,200400479.0,운전위험,가바펜틴,항전간제
네버펜틴캡슐100밀리그램(가바펜틴),대웅바이오(주),100밀리그램,전문의약품,해당사항없음,N02BF01,201505781.0,운전위험,가바펜틴,항전간제
네버펜틴캡슐300밀리그람(가바펜틴)(수출명:GarbapiaCap300mg),(주)대웅제약,300밀리그램,전문의약품,해당사항없음,N02BF01,200400481.0,운전위험,가바펜틴,항전간제
네버펜틴캡슐300밀리그램(가바펜틴),대웅바이오(주),300밀리그램,전문의약품,해당사항없음,N02BF01,200400481.0,운전위험,가바펜틴,항전간제
